reference,doi_link,catalyst_name,catalyst_composition_available,starting_material_active_1,active_comp_1,active_1_percent,starting_material_2,active_comp_2,active_2_percent,support_comp_1,support_1_percent,support_comp_2,support_2_percent,catalyst_surface_area_m2_g,mean_pore_diameter_nm,temperature_k,pressure_bar,pH2_pCO2_ratio,GHSV_nlph_gcat,catalyst_load_g,CO2_conversion,selectivity_CH3OH,yield_CH3OH,STY_g_per_gcath
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-Ba/Al2O3,Yes,CuO,Cu,25.2,BaCO3,BaCO3,3.4,Al2O3,71.4,NA,NA,166,NA,533,10,3.8,10.60,0.17,17.1,6.5,1.1,0.0324
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-Ba/Al2O3,Yes,CuO,Cu,25.2,BaCO3,BaCO3,3.4,Al2O3,71.4,NA,NA,166,NA,473,3,3.8,10.60,0.17,1.6,62.8,1,0.0294
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-Ba/Al2O3,Yes,CuO,Cu,25.2,BaCO3,BaCO3,3.4,Al2O3,71.4,NA,NA,166,NA,443,10,3.8,10.60,0.17,0.6,71.9,0.4,0.0118
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-Ba/Al2O3,Yes,CuO,Cu,25.2,BaCO3,BaCO3,3.4,Al2O3,71.4,NA,NA,166,NA,473,0.4,3.8,10.60,0.17,1.3,29.3,0.4,0.0118
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-Ba/Al2O3,Yes,CuO,Cu,25.2,BaCO3,BaCO3,3.4,Al2O3,71.4,NA,NA,166,NA,533,0.4,3.8,10.60,0.17,9.3,4.4,0.4,0.0118
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-Ba/Al2O3,Yes,CuO,Cu,25.2,BaCO3,BaCO3,3.4,Al2O3,71.4,NA,NA,166,NA,443,3,3.8,10.60,0.17,0.4,77.1,0.3,0.0088
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-Ba/Al2O3,Yes,CuO,Cu,25.2,BaCO3,BaCO3,3.4,Al2O3,71.4,NA,NA,166,NA,503,0.4,3.8,10.60,0.17,2.7,11.2,0.3,0.0088
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-Ba/Al2O3,Yes,CuO,Cu,25.2,BaCO3,BaCO3,3.4,Al2O3,71.4,NA,NA,166,NA,553,0.4,3.8,10.60,0.17,16.2,1.9,0.3,0.0088
Bansode et al. (2013),https://doi.org/10.1039/C2CY20604H,Cu-Ba/Al2O3,Yes,CuO,Cu,25.2,BaCO3,BaCO3,3.4,Al2O3,71.4,NA,NA,166,NA,443,0.4,3.8,10.60,0.17,0.1,27.8,0.0278,0.0008
C. Ding et al 2023,https://doi.org/10.1016/j.jes.2023.01.018,Ir0.32-In2O3,Yes,Ir,Ir,0.4616,NA,NA,NA,In2O3,99.5384,NA,NA,NA,NA,573,40,3,12.00,0.3,7.8,54,4.21,0.1683
C. Ding et al 2023,https://doi.org/10.1016/j.jes.2023.01.018,Ir0.08-In2O3,Yes,Ir,Ir,0.1155,NA,NA,NA,In2O3,99.8845,NA,NA,NA,NA,573,40,3,12.00,0.3,6.6,58,3.83,0.1530
C. Ding et al 2023,https://doi.org/10.1016/j.jes.2023.01.018,Ir0.16-In2O3,Yes,Ir,Ir,0.2309,NA,NA,NA,In2O3,99.7691,NA,NA,NA,NA,573,40,3,12.00,0.3,7.4,44,3.26,0.1301
C. Ding et al 2023,https://doi.org/10.1016/j.jes.2023.01.018,Ir0.32-In2O3,Yes,Ir,Ir,0.4616,NA,NA,NA,In2O3,99.5384,NA,NA,NA,NA,553,40,3,12.00,0.3,4.4,67,2.95,0.1178
C. Ding et al 2023,https://doi.org/10.1016/j.jes.2023.01.018,Ir0.16-In2O3,Yes,Ir,Ir,0.2309,NA,NA,NA,In2O3,99.7691,NA,NA,NA,NA,553,40,3,12.00,0.3,4.2,60,2.52,0.1007
C. Ding et al 2023,https://doi.org/10.1016/j.jes.2023.01.018,Ir0.08-In2O3,Yes,Ir,Ir,0.1155,NA,NA,NA,In2O3,99.8845,NA,NA,NA,NA,553,40,3,12.00,0.3,3.8,66,2.51,0.1002
C. Ding et al 2023,https://doi.org/10.1016/j.jes.2023.01.018,Ir0.16-In2O3,Yes,Ir,Ir,0.2309,NA,NA,NA,In2O3,99.7691,NA,NA,NA,NA,533,40,3,12.00,0.3,2.4,68,1.63,0.0652
C. Ding et al 2023,https://doi.org/10.1016/j.jes.2023.01.018,Ir0.32-In2O3,Yes,Ir,Ir,0.4616,NA,NA,NA,In2O3,99.5384,NA,NA,NA,NA,533,40,3,12.00,0.3,2.2,72,1.58,0.0633
C. Ding et al 2023,https://doi.org/10.1016/j.jes.2023.01.018,Ir0.08-In2O3,Yes,Ir,Ir,0.1155,NA,NA,NA,In2O3,99.8845,NA,NA,NA,NA,533,40,3,12.00,0.3,2,72,1.44,0.0575
C. Ding et al 2023,https://doi.org/10.1016/j.jes.2023.01.018,Ir0.08-In2O3,Yes,Ir,Ir,0.1155,NA,NA,NA,In2O3,99.8845,NA,NA,NA,NA,513,40,3,12.00,0.3,1.2,82,0.98,0.0393
C. Ding et al 2023,https://doi.org/10.1016/j.jes.2023.01.018,Ir0.32-In2O3,Yes,Ir,Ir,0.4616,NA,NA,NA,In2O3,99.5384,NA,NA,NA,NA,513,40,3,12.00,0.3,1.2,80,0.96,0.0384
C. Ding et al 2023,https://doi.org/10.1016/j.jes.2023.01.018,Ir0.16-In2O3,Yes,Ir,Ir,0.2309,NA,NA,NA,In2O3,99.7691,NA,NA,NA,NA,513,40,3,12.00,0.3,0.8,66,0.53,0.0211
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,1InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,2,NA,NA,NA,Fe3O4,98,NA,NA,NA,NA,523,40,5,12.00,0.5,4.3,92,3.96,0.1054
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,3InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,6.2,NA,NA,NA,Fe3O4,93.8,NA,NA,NA,NA,523,40,5,12.00,0.5,11.8,94,11.09,0.2955
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,7InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,14.7,NA,NA,NA,Fe3O4,85.3,NA,NA,NA,NA,523,40,5,12.00,0.5,12.7,95,12.07,0.3214
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,1InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,2,NA,NA,NA,Fe3O4,98,NA,NA,NA,NA,523,40,5,180.00,0.5,2,90,1.80,0.7193
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,3InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,6.2,NA,NA,NA,Fe3O4,93.8,NA,NA,NA,NA,523,40,5,180.00,0.5,2,99.1,1.98,0.7920
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,9.6,60.00,523,40,5,240.00,0.5,2.1,99,2.08,1.1077
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111, Fe3O4-400/425,Yes,NA,NA,NA,NA,NA,NA,Fe3O4,100,NA,NA,NA,NA,523,40,5,12.00,0.5,1,62,0.62,0.0165
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ SiO2-400/425,Yes,InNi3O0.5,InNi3O0.5,2.9,NA,NA,NA,SiO2,97.1,NA,NA,NA,NA,523,40,5,12.00,0.5,1.5,96,1.44,0.0384
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-300/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,9.2,56.00,523,40,5,12.00,0.5,5.5,97.2,5.35,0.1424
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-350/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,10.3,59.00,523,40,5,12.00,0.5,7.8,97.2,7.58,0.2020
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,9.6,60.00,523,40,5,12.00,0.5,12.3,95.6,11.76,0.3133
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-450/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,10.7,37.00,523,40,5,12.00,0.5,9.7,93.7,9.09,0.2421
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-500/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,10,40.00,523,40,5,12.00,0.5,4.9,98.2,4.81,0.1282
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/375,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,18.6,37.00,523,40,5,12.00,0.5,8,94,7.52,0.2003
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/400,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,15.4,42.00,523,40,5,12.00,0.5,8.9,94,8.37,0.2229
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,9.6,60.00,523,40,5,12.00,0.5,12.3,95.6,11.76,0.3133
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/450,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,8.8,67.00,523,40,5,12.00,0.5,9.2,92.6,8.52,0.2270
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/475,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,6.7,75.00,523,40,5,12.00,0.5,7.9,96,7.58,0.2020
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,9.6,60.00,523,40,5,12.00,0.5,12.4,93,11.53,0.3072
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,9.6,60.00,523,40,5,18.00,0.5,11.1,95,10.55,0.4214
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,9.6,60.00,523,40,5,24.00,0.5,9.6,95,9.12,0.4859
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,9.6,60.00,523,40,5,30.00,0.5,8.6,95,8.17,0.5441
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,9.6,60.00,523,40,5,36.00,0.5,7.8,95,7.41,0.5922
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,9.6,60.00,523,40,5,42.00,0.5,7.3,95,6.94,0.6466
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,9.6,60.00,523,40,5,48.00,0.5,7,95,6.65,0.7086
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,9.6,60.00,523,10,5,12.00,0.5,6.1,94,5.73,0.1528
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,9.6,60.00,523,20,5,12.00,0.5,7.2,93,6.70,0.1784
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,9.6,60.00,523,30,5,12.00,0.5,9.7,95,9.22,0.2455
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,9.6,60.00,523,40,5,12.00,0.5,12.4,95,11.78,0.3138
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,9.6,60.00,523,50,5,12.00,0.5,12.8,95,12.16,0.3239
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,9.6,60.00,523,60,5,12.00,0.5,13.3,95,12.64,0.3366
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,9.6,60.00,523,40,3,12.00,0.5,9.5,92,8.74,0.3493
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,9.6,60.00,523,40,4,15.00,0.5,10.5,93,9.77,0.3902
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,9.6,60.00,523,40,5,18.00,0.5,12.4,94,11.66,0.4658
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,9.6,60.00,523,40,8,27.00,0.5,15.1,95,14.35,0.5732
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,9.6,60.00,523,40,10,33.00,0.5,17.8,96,17.09,0.6828
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,9.6,60.00,533,40,5,12.00,0.5,13.3,90,11.97,0.3189
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,9.6,60.00,523,40,5,12.00,0.5,12.4,94,11.656,0.3105
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,9.6,60.00,513,40,5,12.00,0.5,10,94,9.4,0.2504
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,9.6,60.00,493,40,5,12.00,0.5,8.4,96,8.064,0.2148
C. Meng et al. 2023,https://doi.org/10.1016/j.fuel.2024.131111,5InNi3C0.5/ Fe3O4-400/425,Yes,InNi3O0.5,InNi3O0.5,10.4,NA,NA,NA,Fe3O4,89.6,NA,NA,9.6,60.00,473,40,5,12.00,0.5,7.2,98,7.056,0.1880
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,Cat-4.5 H-In2O3/Al2O3/Al-fiber,No,In2O3,In2O3,6.7,NA,NA,NA,Al2O3,93.3,Al,NA,36.8,7.10,598,40,3,21.60,0.5,4.4,67.6,2.97,0.2139
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,Cat-4.5 H-In2O3/Al2O3/Al-fiber,No,In2O3,In2O3,6.7,NA,NA,NA,Al2O3,93.3,Al,NA,36.8,7.10,623,40,3,21.60,0.5,4.9,58.9,2.89,0.2076
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,Cat-3.0 H-In2O3/Al2O3/Al-fiber,No,In2O3,In2O3,4.9,NA,NA,NA,Al2O3,95.1,Al,NA,30.4,5.80,623,40,3,21.60,0.5,4.4,62.1,2.73,0.1965
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,Cat-3.0 H-In2O3/Al2O3/Al-fiber,No,In2O3,In2O3,4.9,NA,NA,NA,Al2O3,95.1,Al,NA,30.4,5.80,598,40,3,21.60,0.5,3.4,69.8,2.37,0.1707
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,Cat-4.5 H-In2O3/Al2O3/Al-fiber,No,In2O3,In2O3,6.7,NA,NA,NA,Al2O3,93.3,Al,NA,36.8,7.10,573,40,3,21.60,0.5,2.7,83.3,2.25,0.1618
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,H-In2O3/Al2O3 ,No,In2O3,In2O3,NA,NA,NA,NA,Al2O3,NA,NA,NA,NA,NA,623,40,3,21.60,0.5,4.3,50.9,2.19,0.1574
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,Cat-1.5 H-In2O3/Al2O3/Al-fiber,No,In2O3,In2O3,3.80,NA,NA,NA,Al2O3,96.2,Al,NA,27.2,6.80,598,40,3,21.60,0.5,3,68.2,2.05,0.1472
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,Cat-1.5 H-In2O3/Al2O3/Al-fiber,No,In2O3,In2O3,3.80,NA,NA,NA,Al2O3,96.2,Al,NA,27.2,6.80,623,40,3,21.60,0.5,3.3,61.2,2.02,0.1453
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,Cat-6.0 H-In2O3/Al2O3/Al-fiber,No,In2O3,In2O3,2.4,NA,NA,NA,Al2O3,97.6,Al,NA,19.4,7.20,623,40,3,21.60,0.5,3.3,53.6,1.77,0.1272
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,H-In2O3/Al2O3,No,In2O3,In2O3,NA,NA,NA,NA,Al2O3,NA,NA,NA,NA,NA,598,40,3,21.60,0.5,2.7,59.8,1.61,0.1161
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,In2O3-IWI/Al2O3/Al-fiber,No,In2O3,In2O3,NA,NA,NA,NA,Al2O3,NA,Al,NA,NA,NA,573,40,3,21.60,0.5,2.4,66.8,1.60,0.1153
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,In2O3-IWI/Al2O3/Al-fiber ,No,In2O3,In2O3,NA,NA,NA,NA,Al2O3,NA,Al,NA,NA,NA,598,40,3,21.60,0.5,4.3,36.8,1.58,0.1138
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,Cat-6.0 H-In2O3/Al2O3/Al-fiber,No,In2O3,In2O3,2.4,NA,NA,NA,Al2O3,97.6,Al,NA,19.4,7.20,598,40,3,21.60,0.5,2.6,60.1,1.56,0.1124
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,Cat-3.0 H-In2O3/Al2O3/Al-fiber,No,In2O3,In2O3,4.9,NA,NA,NA,Al2O3,95.1,Al,NA,30.4,5.80,573,40,3,21.60,0.5,1.7,87.3,1.48,0.1067
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,Cat-4.5 H-In2O3/Al2O3/Al-fiber,No,In2O3,In2O3,6.7,NA,NA,NA,Al2O3,93.3,Al,NA,36.8,7.10,548,40,3,21.60,0.5,1.5,91.6,1.37,0.0988
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,In2O3-IWI/Al2O3/Al-fiber ,No,In2O3,In2O3,NA,NA,NA,NA,Al2O3,NA,Al,NA,NA,NA,623,40,3,21.60,0.5,5,25.4,1.27,0.0913
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,H-In2O3/Al2O3,No,In2O3,In2O3,NA,NA,NA,NA,Al2O3,NA,NA,NA,NA,NA,573,40,3,21.60,0.5,1.5,76.8,1.15,0.0829
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,Cat-1.5 H-In2O3/Al2O3/Al-fiber,No,In2O3,In2O3,3.80,NA,NA,NA,Al2O3,96.2,Al,NA,27.2,6.80,573,40,3,21.60,0.5,1.3,83.4,1.08,0.0780
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,Cat-4.5 H-In2O3/Al2O3/Al-fiber,No,In2O3,In2O3,6.7,NA,NA,NA,Al2O3,93.3,Al,NA,36.8,7.10,523,40,3,21.60,0.5,1.1,94.8,1.04,0.0750
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,In2O3-IWI/Al2O3/Al-fiber,No,In2O3,In2O3,NA,NA,NA,NA,Al2O3,NA,Al,NA,NA,NA,548,40,3,21.60,0.5,1.3,78.6,1.02,0.0735
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,Cat-3.0 H-In2O3/Al2O3/Al-fiber,No,In2O3,In2O3,4.9,NA,NA,NA,Al2O3,95.1,Al,NA,30.4,5.80,548,40,3,21.60,0.5,1,92,0.92,0.0662
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,H-In2O3/Al2O3,No,In2O3,In2O3,NA,NA,NA,NA,Al2O3,NA,NA,NA,NA,NA,548,40,3,21.60,0.5,1,88.9,0.89,0.0639
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,H-In2O3/Al2O3,No,In2O3,In2O3,NA,NA,NA,NA,Al2O3,NA,NA,NA,NA,NA,523,40,3,21.60,0.5,0.8,93.2,0.75,0.0536
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,Cat-1.5 H-In2O3/Al2O3/Al-fiber),No,In2O3,In2O3,3.80,NA,NA,NA,Al2O3,96.2,NA,NA,27.2,6.80,548,40,3,21.60,0.5,0.82,90.3,0.74,0.0533
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,In2O3-IWI/Al2O3/Al-fiber,No,In2O3,In2O3,NA,NA,NA,NA,Al2O3,NA,Al,NA,NA,NA,523,40,3,21.60,0.5,0.7,84,0.59,0.0423
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,Cat-3.0 H-In2O3/Al2O3/Al-fiber,No,In2O3,In2O3,4.9,NA,NA,NA,Al2O3,95.1,Al,NA,30.4,5.80,523,40,3,21.60,0.5,0.6,95.3,0.57,0.0411
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,Cat-6.0 H-In2O3/Al2O3/Al-fiber ,No,In2O3,In2O3,2.4,NA,NA,NA,Al2O3,97.6,Al,NA,19.4,7.20,573,40,3,21.60,0.5,0.8,65,0.52,0.0374
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,Cat-1.5 H-In2O3/Al2O3/Al-fiber,No,In2O3,In2O3,3.80,NA,NA,NA,Al2O3,96.2,Al,NA,27.2,6.80,523,40,3,21.60,0.5,0.49,92.5,0.45,0.0326
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,Cat-6.0 H-In2O3/Al2O3/Al-fiber ,No,In2O3,In2O3,2.4,NA,NA,NA,Al2O3,97.6,Al,NA,19.4,7.20,548,40,3,21.60,0.5,0.5,81.2,0.41,0.0292
Chen et al. (2019b),https://doi.org/10.1002/ente.201800747,Cat-6.0 H-In2O3/Al2O3/Al-fiber ,No,In2O3,In2O3,2.4,NA,NA,NA,Al2O3,97.6,Al,NA,19.4,7.20,523,40,3,21.60,0.5,0.3,86.6,0.26,0.0187
Chen et al. (2019c),https://doi.org/10.1021/acscatal.9b01869,In0.25/ZrO2,Yes,In2O3,In2O3,0.22,NA,NA,NA,ZrO2,99.78,NA,NA,NA,NA,523,50,4,18.00,0.15,0.3,46.8,0.14,0.0067
Chen et al. (2019c),https://doi.org/10.1021/acscatal.9b01869,In0.5/ZrO2,Yes,In2O3,In2O3,0.38,NA,NA,NA,ZrO2,99.62,NA,NA,NA,NA,523,50,4,18.00,0.15,0.5,50.3,0.25,0.0121
Chen et al. (2019c),https://doi.org/10.1021/acscatal.9b01869,In1/ZrO2,Yes,In2O3,In2O3,0.65,NA,NA,NA,ZrO2,99.35,NA,NA,NA,NA,523,50,4,18.00,0.15,0.5,63.8,0.32,0.0153
Chen et al. (2019c),https://doi.org/10.1021/acscatal.9b01869,In0.25/ZrO2,Yes,In2O3,In2O3,0.22,NA,NA,NA,ZrO2,99.78,NA,NA,NA,NA,553,50,4,18.00,0.15,1.2,27,0.32,0.0155
Chen et al. (2019c),https://doi.org/10.1021/acscatal.9b01869,In0.5/ZrO2,Yes,In2O3,In2O3,0.38,NA,NA,NA,ZrO2,99.62,NA,NA,NA,NA,553,50,4,18.00,0.15,1.9,38.7,0.74,0.0353
Chen et al. (2019c),https://doi.org/10.1021/acscatal.9b01869,In1/ZrO2,Yes,In2O3,In2O3,0.65,NA,NA,NA,ZrO2,99.35,NA,NA,NA,NA,553,50,4,18.00,0.15,2,49.3,0.99,0.0473
Chen et al. (2019c),https://doi.org/10.1021/acscatal.9b01869,In0.1/ZrO2,No,In2O3,In2O3,0.1,NA,NA,NA,ZrO2,99.9,NA,NA,27.4,32.00,523,50,4,18.00,0.15,0.4,23.1,0.09,0.0044
Chen et al. (2019c),https://doi.org/10.1021/acscatal.9b01869,In0.1/ZrO2,No,In2O3,In2O3,0.1,NA,NA,NA,ZrO2,99.9,NA,NA,27.4,32.00,553,50,4,18.00,0.15,1.1,21.3,0.23,0.0112
Chen et al. (2019c),https://doi.org/10.1021/acscatal.9b01869,In2.5/ZrO2,Yes,In2O3,In2O3,1.26,NA,NA,NA,ZrO2,98.74,NA,NA,26.4,27.60,523,50,4,18.00,0.15,0.9,73.8,0.66,0.0319
